number_of_times,rssi
1,-46.00
2,-48.00
3,-47.00
4,-47.00
5,-47.00
6,-47.00
7,-47.00
8,-47.00
9,-47.00
10,-47.00
11,-47.00
12,-47.00
13,-47.00
14,-46.00
15,-47.00
16,-47.00
17,-47.00
18,-47.00
19,-47.00
20,-47.00
21,-47.00
22,-47.00
23,-47.00
24,-47.00
25,-47.00
26,-47.00
27,-47.00
28,-47.00
29,-47.00
30,-47.00
31,-47.00
32,-47.00
33,-47.00
34,-47.00
35,-47.00
36,-47.00
37,-47.00
38,-47.00
39,-47.00
40,-47.00
41,-47.00
42,-47.00
43,-47.00
44,-47.00
45,-47.00
46,-47.00
47,-46.00
48,-47.00
49,-47.00
50,-47.00
51,-47.00
52,-47.00
53,-47.00
54,-47.00
55,-47.00
56,-47.00
57,-47.00
58,-47.00
59,-47.00
60,-47.00
61,-46.00
62,-47.00
63,-47.00
64,-47.00
65,-46.00
66,-46.00
67,-47.00
68,-46.00
69,-46.00
70,-46.00
71,-47.00
72,-46.00
73,-47.00
74,-47.00
75,-46.00
76,-47.00
77,-46.00
78,-47.00
79,-46.00
80,-47.00
81,-46.00
82,-47.00
83,-47.00
84,-46.00
85,-46.00
86,-47.00
87,-46.00
88,-47.00
89,-46.00
90,-46.00
91,-47.00
92,-46.00
93,-47.00
94,-46.00
95,-47.00
96,-46.00
97,-46.00
98,-46.00
99,-47.00
100,-47.00
101,-47.00
102,-47.00
103,-47.00
104,-47.00
105,-46.00
106,-47.00
107,-47.00
108,-47.00
109,-47.00
110,-47.00
111,-47.00
112,-47.00
113,-47.00
114,-46.00
115,-47.00
116,-46.00
117,-46.00
118,-47.00
119,-47.00
120,-46.00
121,-47.00
122,-46.00
123,-46.00
124,-47.00
125,-47.00
126,-47.00
127,-47.00
128,-47.00
129,-47.00
130,-47.00
131,-47.00
132,-47.00
133,-47.00
134,-47.00
135,-47.00
136,-47.00
137,-47.00
138,-47.00
139,-47.00
140,-47.00
141,-47.00
142,-47.00
143,-47.00
144,-46.00
145,-47.00
146,-47.00
147,-46.00
148,-47.00
149,-47.00
150,-47.00
151,-47.00
152,-47.00
153,-47.00
154,-47.00
155,-47.00
156,-47.00
157,-47.00
158,-46.00
159,-47.00
160,-47.00
161,-47.00
162,-47.00
163,-47.00
164,-47.00
165,-47.00
166,-46.00
167,-47.00
168,-47.00
169,-47.00
170,-46.00
171,-46.00
172,-47.00
173,-46.00
174,-47.00
175,-46.00
176,-47.00
177,-47.00
178,-47.00
179,-46.00
180,-47.00
181,-47.00
182,-47.00
183,-47.00
184,-47.00
185,-47.00
186,-47.00
187,-47.00
188,-47.00
189,-47.00
190,-47.00
191,-46.00
192,-47.00
193,-47.00
194,-47.00
195,-47.00
196,-47.00
197,-46.00
198,-46.00
199,-46.00
200,-47.00
201,-47.00
202,-46.00
203,-47.00
204,-47.00
205,-47.00
206,-47.00
207,-47.00
208,-47.00
209,-46.00
210,-47.00
211,-47.00
212,-47.00
213,-47.00
214,-47.00
215,-47.00
216,-47.00
217,-47.00
218,-47.00
219,-46.00
220,-46.00
221,-47.00
222,-46.00
223,-46.00
224,-46.00
225,-46.00
226,-46.00
227,-46.00
228,-46.00
229,-47.00
230,-46.00
231,-46.00
232,-47.00
233,-47.00
234,-46.00
235,-46.00
236,-46.00
237,-47.00
238,-47.00
239,-46.00
240,-46.00
241,-46.00
242,-47.00
243,-47.00
244,-46.00
245,-47.00
246,-47.00
247,-46.00
248,-47.00
249,-47.00
250,-47.00
