number_of_times,rssi
1,-53.00
2,-54.00
3,-52.00
4,-53.00
5,-53.00
6,-52.00
7,-52.00
8,-54.00
9,-54.00
10,-54.00
11,-54.00
12,-54.00
13,-54.00
14,-54.00
15,-54.00
16,-53.00
17,-54.00
18,-53.00
19,-54.00
20,-53.00
21,-53.00
22,-53.00
23,-53.00
24,-54.00
25,-53.00
26,-54.00
27,-54.00
28,-54.00
29,-54.00
30,-54.00
31,-54.00
32,-53.00
33,-53.00
34,-54.00
35,-54.00
36,-54.00
37,-54.00
38,-54.00
39,-54.00
40,-54.00
41,-54.00
42,-54.00
43,-54.00
44,-54.00
45,-54.00
46,-54.00
47,-54.00
48,-54.00
49,-54.00
50,-54.00
51,-54.00
52,-54.00
53,-54.00
54,-54.00
55,-54.00
56,-54.00
57,-54.00
58,-54.00
59,-54.00
60,-54.00
61,-54.00
62,-54.00
63,-53.00
64,-53.00
65,-53.00
66,-54.00
67,-53.00
68,-53.00
69,-53.00
70,-53.00
71,-53.00
72,-53.00
73,-54.00
74,-54.00
75,-54.00
76,-54.00
77,-54.00
78,-54.00
79,-53.00
80,-54.00
81,-54.00
82,-54.00
83,-55.00
84,-54.00
85,-54.00
86,-54.00
87,-54.00
88,-53.00
89,-54.00
90,-54.00
91,-53.00
92,-53.00
93,-53.00
94,-53.00
95,-53.00
96,-53.00
97,-53.00
98,-54.00
99,-54.00
100,-53.00
101,-53.00
102,-53.00
103,-53.00
104,-53.00
105,-53.00
106,-53.00
107,-53.00
108,-53.00
109,-53.00
110,-53.00
111,-53.00
112,-53.00
113,-54.00
114,-53.00
115,-53.00
116,-53.00
117,-53.00
118,-53.00
119,-53.00
120,-53.00
121,-53.00
122,-54.00
123,-53.00
124,-53.00
125,-53.00
126,-53.00
127,-54.00
128,-53.00
129,-54.00
130,-53.00
131,-54.00
132,-54.00
133,-53.00
134,-53.00
135,-53.00
136,-54.00
137,-54.00
138,-54.00
139,-54.00
140,-53.00
141,-54.00
142,-54.00
143,-52.00
144,-52.00
145,-53.00
146,-52.00
147,-52.00
148,-53.00
149,-53.00
150,-54.00
151,-54.00
152,-53.00
153,-54.00
154,-50.00
155,-53.00
156,-56.00
157,-55.00
158,-55.00
159,-54.00
160,-54.00
161,-54.00
162,-53.00
163,-52.00
164,-52.00
165,-52.00
166,-51.00
167,-53.00
168,-51.00
169,-51.00
170,-51.00
171,-51.00
172,-52.00
173,-52.00
174,-52.00
175,-51.00
176,-51.00
177,-51.00
178,-52.00
179,-52.00
180,-51.00
181,-51.00
182,-51.00
183,-51.00
184,-51.00
185,-52.00
186,-53.00
187,-51.00
188,-51.00
189,-51.00
190,-51.00
191,-51.00
192,-51.00
193,-51.00
194,-51.00
195,-51.00
196,-51.00
197,-51.00
198,-51.00
199,-51.00
200,-51.00
201,-51.00
202,-51.00
203,-55.00
204,-53.00
205,-52.00
206,-51.00
207,-52.00
208,-53.00
209,-53.00
210,-53.00
211,-54.00
212,-51.00
213,-46.00
214,-51.00
215,-53.00
216,-52.00
217,-49.00
218,-51.00
219,-51.00
220,-49.00
221,-52.00
222,-51.00
223,-50.00
224,-54.00
225,-51.00
226,-51.00
227,-50.00
228,-49.00
229,-52.00
230,-52.00
231,-50.00
232,-50.00
233,-52.00
234,-54.00
235,-54.00
236,-54.00
237,-54.00
238,-54.00
239,-54.00
240,-54.00
241,-54.00
242,-54.00
243,-54.00
244,-54.00
245,-54.00
246,-50.00
247,-52.00
248,-53.00
249,-53.00
250,-52.00
251,-53.00
252,-54.00
253,-54.00
254,-54.00
255,-54.00
256,-51.00
257,-55.00
258,-53.00
259,-52.00
260,-49.00
261,-52.00
262,-52.00
263,-52.00
264,-53.00
265,-53.00
266,-52.00
267,-53.00
268,-53.00
269,-52.00
270,-52.00
271,-53.00
272,-52.00
273,-50.00
274,-52.00
275,-48.00
276,-51.00
277,-51.00
278,-50.00
279,-51.00
280,-51.00
281,-51.00
282,-50.00
283,-48.00
284,-49.00
285,-49.00
286,-52.00
287,-53.00
288,-52.00
289,-50.00
290,-51.00
291,-50.00
292,-50.00
293,-52.00
294,-54.00
295,-53.00
296,-53.00
297,-52.00
298,-51.00
299,-52.00
300,-52.00
301,-53.00
302,-53.00
303,-53.00
304,-52.00
305,-53.00
306,-53.00
307,-53.00
308,-53.00
309,-53.00
310,-52.00
311,-53.00
312,-52.00
313,-53.00
314,-52.00
315,-53.00
316,-52.00
317,-53.00
318,-52.00
319,-53.00
320,-53.00
321,-53.00
322,-53.00
323,-53.00
324,-54.00
325,-53.00
326,-54.00
327,-54.00
328,-54.00
329,-55.00
330,-54.00
331,-54.00
332,-54.00
333,-54.00
334,-54.00
335,-54.00
336,-54.00
337,-54.00
338,-54.00
339,-54.00
340,-55.00
341,-53.00
342,-53.00
343,-53.00
344,-53.00
345,-53.00
346,-53.00
347,-53.00
348,-53.00
349,-53.00
350,-54.00
351,-53.00
352,-53.00
353,-53.00
354,-52.00
355,-53.00
356,-53.00
357,-54.00
358,-53.00
359,-53.00
360,-52.00
361,-52.00
362,-52.00
363,-52.00
364,-53.00
365,-52.00
366,-53.00
367,-52.00
368,-52.00
369,-54.00
370,-54.00
371,-54.00
372,-54.00
373,-54.00
374,-54.00
375,-54.00
376,-54.00
377,-54.00
378,-53.00
379,-53.00
380,-53.00
381,-54.00
382,-53.00
383,-54.00
384,-53.00
385,-53.00
386,-54.00
387,-54.00
388,-53.00
389,-53.00
390,-54.00
391,-54.00
392,-53.00
393,-53.00
394,-54.00
395,-53.00
396,-54.00
397,-53.00
398,-53.00
399,-53.00
400,-54.00
401,-54.00
402,-54.00
403,-54.00
404,-53.00
405,-53.00
406,-54.00
407,-54.00
408,-53.00
409,-53.00
410,-54.00
411,-54.00
412,-54.00
413,-54.00
414,-54.00
415,-54.00
416,-52.00
417,-51.00
418,-52.00
419,-52.00
420,-52.00
421,-53.00
422,-52.00
423,-52.00
424,-52.00
425,-52.00
426,-52.00
427,-51.00
428,-51.00
429,-51.00
430,-52.00
431,-52.00
432,-52.00
433,-52.00
434,-52.00
435,-53.00
436,-52.00
437,-52.00
438,-53.00
439,-52.00
440,-53.00
441,-52.00
442,-53.00
443,-51.00
444,-53.00
445,-52.00
446,-53.00
447,-53.00
448,-52.00
449,-53.00
450,-52.00
451,-52.00
452,-53.00
453,-52.00
454,-52.00
455,-52.00
456,-52.00
457,-53.00
458,-53.00
459,-53.00
460,-52.00
461,-52.00
462,-52.00
463,-53.00
464,-54.00
465,-54.00
466,-52.00
467,-52.00
468,-53.00
469,-52.00
470,-52.00
471,-52.00
472,-52.00
473,-52.00
474,-51.00
475,-50.00
476,-51.00
477,-51.00
478,-50.00
479,-51.00
480,-51.00
481,-51.00
482,-51.00
483,-51.00
484,-51.00
485,-51.00
486,-51.00
487,-51.00
488,-51.00
489,-51.00
490,-52.00
491,-50.00
492,-51.00
493,-51.00
494,-52.00
495,-52.00
496,-51.00
497,-51.00
498,-51.00
499,-51.00
500,-51.00
501,-51.00
502,-51.00
503,-51.00
504,-51.00
505,-51.00
506,-51.00
507,-51.00
508,-51.00
509,-51.00
510,-52.00
511,-51.00
512,-51.00
513,-51.00
514,-52.00
515,-51.00
516,-51.00
517,-50.00
518,-51.00
519,-50.00
520,-51.00
521,-50.00
522,-49.00
523,-50.00
524,-49.00
525,-49.00
526,-49.00
527,-49.00
528,-50.00
529,-52.00
530,-52.00
531,-50.00
532,-50.00
533,-50.00
534,-50.00
535,-50.00
536,-51.00
537,-51.00
538,-50.00
539,-50.00
540,-51.00
541,-51.00
542,-51.00
543,-50.00
544,-51.00
545,-50.00
546,-51.00
547,-50.00
548,-51.00
549,-51.00
550,-51.00
551,-49.00
552,-50.00
553,-50.00
554,-50.00
555,-50.00
556,-50.00
557,-50.00
558,-50.00
559,-50.00
560,-52.00
561,-51.00
562,-50.00
563,-51.00
564,-51.00
565,-51.00
566,-51.00
567,-51.00
568,-51.00
569,-51.00
570,-51.00
571,-51.00
572,-51.00
573,-51.00
574,-51.00
575,-50.00
576,-51.00
577,-51.00
578,-50.00
579,-50.00
580,-49.00
581,-50.00
582,-50.00
583,-50.00
584,-49.00
585,-50.00
586,-50.00
587,-50.00
588,-51.00
589,-50.00
590,-50.00
591,-51.00
592,-50.00
593,-52.00
594,-52.00
595,-53.00
596,-53.00
597,-53.00
598,-53.00
599,-54.00
600,-53.00
601,-53.00
602,-54.00
603,-53.00
604,-54.00
605,-53.00
606,-53.00
607,-54.00
608,-54.00
609,-54.00
610,-53.00
611,-53.00
612,-53.00
613,-53.00
614,-54.00
615,-53.00
616,-54.00
617,-53.00
618,-54.00
619,-54.00
620,-54.00
621,-54.00
622,-54.00
623,-54.00
624,-54.00
625,-54.00
626,-53.00
627,-53.00
628,-54.00
629,-54.00
630,-54.00
631,-54.00
632,-53.00
633,-53.00
634,-53.00
635,-54.00
636,-53.00
637,-53.00
638,-54.00
639,-53.00
640,-53.00
641,-53.00
642,-54.00
643,-54.00
644,-54.00
645,-53.00
646,-53.00
647,-54.00
648,-54.00
649,-54.00
650,-53.00
651,-54.00
652,-53.00
653,-54.00
654,-54.00
655,-54.00
656,-54.00
657,-53.00
658,-53.00
659,-54.00
660,-53.00
661,-53.00
662,-53.00
663,-53.00
664,-53.00
665,-54.00
666,-53.00
667,-54.00
668,-54.00
669,-54.00
670,-53.00
671,-53.00
672,-53.00
673,-53.00
674,-53.00
675,-53.00
676,-54.00
677,-53.00
678,-53.00
679,-53.00
680,-54.00
681,-54.00
682,-54.00
683,-54.00
684,-53.00
685,-54.00
686,-53.00
687,-54.00
688,-53.00
689,-54.00
690,-53.00
691,-53.00
692,-51.00
693,-52.00
694,-51.00
695,-51.00
696,-51.00
697,-51.00
698,-51.00
699,-51.00
700,-51.00
701,-51.00
702,-51.00
703,-51.00
704,-51.00
705,-51.00
706,-51.00
707,-51.00
708,-51.00
709,-51.00
710,-51.00
711,-51.00
712,-51.00
713,-51.00
714,-51.00
715,-51.00
716,-51.00
717,-51.00
718,-51.00
719,-51.00
720,-51.00
721,-51.00
722,-51.00
723,-51.00
724,-51.00
725,-51.00
726,-51.00
727,-51.00
728,-51.00
729,-51.00
730,-51.00
731,-51.00
732,-51.00
733,-51.00
734,-51.00
735,-51.00
736,-51.00
737,-51.00
738,-51.00
739,-51.00
740,-51.00
741,-51.00
742,-51.00
743,-51.00
744,-52.00
745,-51.00
746,-51.00
747,-52.00
748,-52.00
749,-53.00
750,-52.00
751,-52.00
752,-52.00
753,-52.00
754,-53.00
755,-52.00
756,-52.00
757,-51.00
758,-51.00
759,-51.00
760,-51.00
761,-50.000
762,-52.000
763,-52.00
764,-52.00
765,-52.00
766,-52.00
767,-51.00
768,-51.00
769,-52.00
770,-50.00
771,-50.00
772,-52.00
773,-51.00
774,-51.000
775,-51.000
776,-51.00
777,-51.00
778,-51.00
779,-50.00
780,-50.00
781,-51.00
782,-51.00
783,-51.00
784,-51.000
785,-50.000
786,-50.00
787,-51.00
788,-50.00
789,-50.00
790,-51.00
791,-50.00
792,-50.00
793,-50.00
794,-51.00
795,-50.00
796,-50.00
797,-50.00
798,-51.00
799,-50.00
800,-51.00
801,-51.00
802,-54.00
803,-51.00
804,-51.00
805,-51.00
806,-51.00
807,-51.00
808,-52.00
809,-52.00
810,-53.00
811,-53.00
812,-54.00
813,-54.00
814,-54.00
815,-54.00
816,-54.00
817,-54.00
818,-54.00
819,-53.00
820,-54.00
821,-54.00
822,-54.00
823,-54.00
824,-54.00
825,-54.00
826,-53.00
827,-52.00
828,-52.00
829,-53.00
830,-54.00
831,-53.00
832,-54.00
833,-53.00
834,-53.00
835,-53.00
836,-53.00
837,-53.00
838,-53.00
839,-53.00
840,-53.00
841,-53.00
842,-53.00
843,-53.00
844,-53.00
845,-53.00
846,-53.00
847,-53.00
848,-53.00
849,-53.00
850,-53.00
851,-53.00
852,-53.00
853,-53.00
854,-53.00
855,-53.00
856,-53.00
857,-52.00
858,-52.00
859,-53.00
860,-53.00
861,-53.00
862,-53.00
863,-53.00
864,-53.00
865,-54.00
866,-53.00
867,-54.00
868,-53.00
869,-54.00
870,-53.00
871,-53.00
872,-53.00
873,-53.00
874,-53.00
875,-53.00
876,-53.00
877,-53.00
878,-53.00
879,-53.00
880,-53.00
881,-53.00
882,-53.00
883,-52.00
884,-52.00
885,-52.00
886,-52.00
887,-52.00
888,-52.00
889,-52.00
890,-51.00
891,-51.00
892,-52.00
893,-52.00
894,-52.00
895,-52.00
896,-52.00
897,-52.00
898,-52.00
899,-52.00
900,-52.00
901,-52.00
902,-52.00
903,-52.00
904,-52.00
905,-52.00
906,-52.00
907,-53.00
908,-52.00
909,-50.00
910,-51.00
911,-51.00
912,-49.00
913,-53.00
914,-53.00
915,-53.00
916,-54.00
917,-53.00
918,-51.00
919,-51.00
920,-52.00
921,-56.00
922,-53.00
923,-53.00
924,-53.00
925,-53.00
926,-52.00
927,-52.00
928,-53.00
929,-53.00
930,-53.00
931,-53.00
932,-53.00
933,-53.00
934,-53.00
935,-53.00
936,-53.00
937,-53.00
938,-54.00
939,-53.00
940,-53.00
941,-53.00
942,-54.00
943,-54.00
944,-54.00
945,-53.00
946,-53.00
947,-54.00
948,-53.00
949,-54.00
950,-53.00
951,-54.00
952,-54.00
953,-53.00
954,-53.00
955,-54.00
956,-54.00
957,-54.00
958,-54.00
959,-54.00
960,-54.00
961,-54.00
962,-54.00
963,-54.00
964,-53.00
965,-53.00
966,-54.00
967,-53.00
968,-54.00
969,-54.00
970,-54.00
971,-54.00
972,-54.00
973,-55.00
974,-53.00
975,-50.00
976,-52.00
977,-54.00
978,-52.00
979,-53.00
980,-55.00
981,-55.00
982,-55.00
983,-56.00
984,-56.00
985,-55.00
986,-53.00
987,-53.00
988,-54.00
989,-54.00
990,-53.00
991,-54.00
992,-53.00
993,-53.00
994,-54.00
995,-53.00
996,-53.00
997,-54.00
998,-54.00
999,-54.00
1000,-54.00
1001,-52.00
1002,-51.00
1003,-51.00
1004,-52.00
1005,-52.00
1006,-52.00
1007,-51.00
1008,-52.00
1009,-52.00
1010,-52.00
1011,-52.00
1012,-51.00
1013,-51.00
1014,-52.00
1015,-52.00
1016,-51.00
1017,-51.00
1018,-52.00
1019,-52.00
1020,-52.00
1021,-51.00
1022,-52.00
1023,-52.00
1024,-52.00
1025,-51.00
1026,-52.00
1027,-52.00
1028,-52.00
1029,-52.00
1030,-52.00
1031,-52.00
1032,-51.00
1033,-52.00
1034,-51.00
1035,-52.00
1036,-52.00
1037,-52.00
1038,-52.00
1039,-52.00
1040,-52.00
1041,-52.00
1042,-51.00
1043,-52.00
1044,-51.00
1045,-52.00
1046,-52.00
1047,-51.00
1048,-51.00
1049,-52.00
1050,-52.00
1051,-52.00
1052,-52.00
1053,-51.00
1054,-51.00
1055,-52.00
1056,-52.00
1057,-51.00
1058,-52.00
1059,-52.00
1060,-52.00
1061,-52.00
1062,-51.00
