number_of_times,rssi
1,-44.00
2,-44.00
3,-45.00
4,-44.00
5,-46.00
6,-46.00
7,-46.00
8,-44.00
9,-40.00
10,-44.00
11,-46.00
12,-46.00
13,-46.00
14,-46.00
15,-46.00
16,-46.00
17,-46.00
18,-47.00
19,-47.00
20,-46.00
21,-46.00
22,-46.00
23,-47.00
24,-47.00
25,-46.00
26,-46.00
27,-46.00
28,-47.00
29,-47.00
30,-47.00
31,-46.00
32,-47.00
33,-47.00
34,-46.00
35,-46.00
36,-47.00
37,-46.00
38,-46.00
39,-46.00
40,-46.00
41,-46.00
42,-46.00
43,-46.00
44,-47.00
45,-46.00
46,-47.00
47,-47.00
48,-47.00
49,-46.00
50,-46.00
51,-47.00
52,-46.00
53,-47.00
54,-47.00
55,-47.00
56,-47.00
57,-47.00
58,-47.00
59,-46.00
60,-47.00
61,-47.00
62,-46.00
63,-46.00
64,-46.00
65,-46.00
66,-47.00
67,-47.00
68,-46.00
69,-47.00
70,-47.00
71,-46.00
72,-47.00
73,-47.00
74,-46.00
75,-47.00
76,-47.00
77,-47.00
78,-47.00
79,-47.00
80,-47.00
81,-47.00
82,-47.00
83,-46.00
84,-47.00
85,-47.00
86,-46.00
87,-47.00
88,-47.00
89,-46.00
90,-47.00
91,-47.00
92,-47.00
93,-47.00
94,-47.00
95,-47.00
96,-47.00
97,-46.00
98,-47.00
99,-47.00
100,-47.00
101,-47.00
102,-47.00
103,-46.00
104,-46.00
105,-47.00
106,-47.00
107,-47.00
108,-47.00
109,-47.00
110,-47.00
111,-47.00
112,-47.00
113,-47.00
114,-47.00
115,-47.00
116,-47.00
117,-47.00
118,-47.00
119,-47.00
120,-47.00
121,-47.00
122,-47.00
123,-47.00
124,-47.00
125,-47.00
126,-47.00
127,-47.00
128,-47.00
129,-47.00
130,-47.00
131,-47.00
132,-47.00
133,-47.00
134,-47.00
135,-47.00
136,-47.00
137,-47.00
138,-47.00
139,-47.00
140,-47.00
141,-47.00
142,-47.00
143,-47.00
144,-47.00
145,-47.00
146,-47.00
147,-47.00
148,-47.00
149,-47.00
150,-47.00
151,-47.00
152,-47.00
153,-47.00
154,-47.00
155,-47.00
156,-47.00
157,-46.00
158,-46.00
159,-47.00
160,-47.00
161,-47.00
162,-47.00
163,-47.00
164,-47.00
165,-47.00
166,-47.00
167,-47.00
168,-47.00
169,-47.00
170,-47.00
171,-47.00
172,-47.00
173,-47.00
174,-47.00
175,-47.00
176,-47.00
177,-47.00
178,-47.00
179,-47.00
180,-47.00
181,-47.00
182,-47.00
183,-47.00
184,-46.00
185,-47.00
186,-47.00
187,-47.00
188,-47.00
189,-47.00
190,-47.00
191,-47.00
192,-47.00
193,-47.00
194,-47.00
195,-47.00
196,-47.00
197,-46.00
198,-47.00
199,-46.00
200,-47.00
201,-47.00
202,-47.00
203,-47.00
204,-47.00
205,-47.00
206,-47.00
207,-47.00
208,-47.00
209,-47.00
210,-46.00
211,-47.00
212,-47.00
213,-47.00
214,-47.00
215,-47.00
216,-47.00
217,-46.00
218,-47.00
219,-47.00
220,-47.00
221,-47.00
222,-47.00
223,-47.00
224,-46.00
225,-46.00
226,-47.00
227,-47.00
228,-46.00
229,-47.00
230,-47.00
231,-47.00
232,-47.00
233,-47.00
234,-46.00
235,-46.00
236,-47.00
237,-47.00
238,-46.00
239,-47.00
240,-47.00
241,-47.00
242,-47.00
243,-47.00
244,-47.00
245,-47.00
246,-47.00
247,-47.00
248,-47.00
249,-46.00
250,-47.00
251,-47.00
252,-47.00
253,-47.00
254,-47.00
255,-47.00
256,-47.00
257,-47.00
258,-47.00
259,-47.00
260,-47.00
261,-47.00
262,-47.00
263,-47.00
264,-47.00
265,-47.00
266,-47.00
267,-47.00
268,-47.00
269,-47.00
270,-47.00
271,-47.00
272,-47.00
273,-47.00
274,-47.00
275,-47.00
276,-47.00
277,-47.00
278,-47.00
279,-47.00
280,-47.00
281,-47.00
282,-46.00
283,-47.00
284,-47.00
285,-46.00
286,-47.00
287,-47.00
288,-47.00
289,-47.00
290,-47.000
291,-47.000
292,-47.00
293,-47.00
294,-47.00
295,-47.00
296,-47.00
297,-47.00
298,-47.00
299,-47.00
300,-47.00
301,-47.00
302,-47.00
303,-47.00
304,-47.00
305,-46.00
306,-47.00
307,-47.00
308,-47.00
309,-47.00
310,-47.00
311,-47.00
312,-47.00
313,-46.00
314,-46.00
315,-47.00
316,-47.00
317,-47.00
318,-46.00
319,-47.00
320,-47.00
321,-46.00
322,-47.00
323,-46.00
324,-47.00
325,-47.00
326,-47.00
327,-46.00
328,-46.00
329,-46.00
330,-46.00
331,-46.00
332,-45.00
333,-47.00
334,-47.00
335,-46.00
336,-47.00
337,-47.00
338,-47.00
339,-47.00
340,-47.00
341,-47.00
342,-47.00
343,-47.00
344,-47.00
345,-46.00
346,-46.00
347,-47.00
348,-47.00
349,-47.00
350,-46.00
351,-46.00
352,-47.00
353,-46.00
354,-47.00
355,-46.00
356,-47.00
357,-47.00
358,-46.00
359,-47.00
360,-47.00
361,-47.00
362,-46.00
363,-46.00
364,-46.00
365,-46.00
366,-46.00
367,-47.00
368,-47.00
369,-47.00
370,-47.00
371,-46.00
372,-47.00
373,-47.00
374,-47.00
375,-46.00
376,-47.00
377,-47.00
378,-46.00
379,-47.00
380,-47.00
381,-47.00
382,-47.00
383,-47.00
384,-47.00
385,-47.00
386,-46.00
387,-47.00
388,-46.00
389,-47.00
390,-47.00
391,-47.00
392,-47.00
393,-46.00
394,-46.00
395,-46.00
396,-47.00
397,-46.00
398,-46.00
399,-47.00
400,-47.00
401,-47.00
402,-47.00
403,-47.00
404,-47.00
405,-47.00
406,-47.00
407,-46.00
408,-47.00
409,-47.00
410,-47.00
411,-47.00
412,-46.00
413,-47.00
414,-47.00
415,-47.00
416,-47.00
417,-46.00
418,-47.00
419,-47.00
420,-47.00
421,-47.00
422,-46.00
423,-47.00
424,-47.00
425,-47.00
426,-46.00
427,-47.00
428,-47.00
429,-47.00
430,-47.00
431,-47.00
432,-47.00
433,-46.00
434,-46.00
435,-47.00
436,-47.00
437,-47.00
438,-46.00
439,-46.00
440,-46.00
441,-46.00
442,-46.00
443,-47.00
444,-47.00
445,-47.00
446,-47.00
447,-47.00
448,-46.00
449,-47.00
450,-47.00
451,-46.00
452,-47.00
453,-47.00
454,-47.00
455,-47.00
456,-46.00
457,-47.00
458,-47.00
459,-47.00
460,-47.00
461,-46.00
462,-47.00
463,-46.00
464,-46.00
465,-47.00
466,-47.00
467,-47.00
468,-47.00
469,-47.00
470,-47.00
471,-47.00
472,-47.00
473,-47.00
474,-47.00
475,-47.00
476,-47.00
477,-47.00
478,-47.00
479,-46.00
480,-46.00
481,-47.00
482,-47.00
483,-46.00
484,-47.00
485,-46.00
486,-47.00
487,-47.00
488,-47.00
489,-47.00
490,-47.00
491,-46.00
492,-47.00
493,-47.00
494,-47.00
495,-47.00
496,-47.00
497,-47.00
498,-47.00
499,-47.00
500,-46.00
501,-46.00
502,-47.00
503,-47.00
504,-47.00
505,-46.00
506,-47.00
507,-47.00
508,-47.00
509,-47.00
510,-47.00
511,-47.00
512,-47.00
513,-47.00
514,-47.00
515,-47.00
516,-46.00
517,-47.00
518,-47.00
519,-47.00
520,-47.00
521,-47.00
522,-47.00
523,-47.00
524,-47.00
525,-47.00
526,-47.00
527,-47.00
528,-47.00
529,-47.00
530,-47.00
531,-47.00
532,-47.00
533,-47.00
534,-47.00
535,-47.00
536,-47.00
537,-47.00
538,-47.00
539,-47.00
540,-47.00
541,-47.00
542,-47.00
543,-47.00
544,-47.00
545,-47.00
546,-47.00
547,-47.00
548,-47.00
549,-47.00
550,-47.00
551,-47.00
552,-47.00
553,-47.00
554,-47.00
555,-47.00
556,-47.00
557,-47.00
558,-47.00
559,-47.00
560,-47.00
561,-47.00
562,-47.00
563,-47.00
564,-47.00
565,-47.00
566,-47.00
567,-47.00
568,-47.00
569,-47.00
570,-47.00
571,-47.00
572,-47.00
573,-47.00
574,-47.00
575,-47.00
576,-47.00
577,-47.00
578,-47.00
579,-47.00
580,-47.00
581,-47.00
582,-47.00
583,-47.00
584,-47.00
585,-47.00
586,-47.00
587,-47.00
588,-47.00
589,-47.00
590,-47.00
591,-47.00
592,-47.00
593,-47.00
594,-47.00
595,-47.00
596,-47.00
597,-47.00
598,-47.00
599,-47.00
600,-46.00
601,-47.00
602,-47.00
603,-47.00
604,-47.00
605,-47.00
606,-47.00
607,-47.00
608,-47.00
609,-47.00
610,-47.00
611,-47.00
612,-47.00
613,-47.00
614,-47.00
615,-47.00
616,-47.00
617,-47.00
618,-47.00
619,-47.00
620,-47.00
621,-47.00
622,-47.00
623,-47.00
624,-47.00
625,-46.00
626,-47.00
627,-47.00
628,-47.00
629,-47.00
630,-47.00
631,-47.00
632,-47.00
633,-47.00
634,-47.00
635,-47.00
636,-47.00
637,-47.00
638,-47.00
639,-47.00
640,-47.00
641,-47.00
642,-47.00
643,-47.00
644,-47.00
645,-47.00
646,-47.00
647,-47.00
648,-47.00
649,-47.00
650,-47.00
651,-47.00
652,-47.00
653,-47.00
654,-47.00
655,-47.00
656,-47.00
657,-47.00
658,-47.00
659,-47.00
660,-47.00
661,-47.00
662,-47.00
663,-47.00
664,-47.00
665,-47.00
666,-47.00
667,-47.00
668,-47.00
669,-47.00
670,-47.00
671,-47.00
672,-47.00
673,-47.00
674,-47.00
675,-47.00
676,-47.00
677,-47.00
678,-47.00
679,-47.00
680,-47.00
681,-47.00
682,-47.00
683,-47.00
684,-47.00
685,-45.00
686,-44.00
687,-47.00
688,-46.00
689,-46.00
690,-47.00
691,-47.00
692,-47.00
693,-47.00
694,-47.00
695,-47.00
696,-47.00
697,-47.00
698,-47.00
699,-47.00
700,-47.00
701,-47.00
702,-46.00
703,-47.00
704,-46.00
705,-47.00
706,-46.00
707,-47.000
708,-46.00
709,-46.00
710,-47.00
711,-46.00
712,-44.00
713,-46.00
714,-46.00
715,-47.00
716,-47.00
717,-47.00
718,-46.00
719,-46.00
720,-47.00
721,-47.00
722,-47.00
723,-46.00
724,-47.00
725,-47.00
726,-47.00
727,-47.00
728,-47.00
729,-47.00
730,-47.00
731,-47.00
732,-47.00
733,-47.00
734,-46.00
735,-47.00
736,-45.00
737,-46.00
738,-46.00
739,-46.00
740,-47.00
741,-47.00
742,-47.00
743,-47.00
744,-47.00
745,-47.00
746,-47.00
747,-47.00
748,-47.00
749,-47.00
750,-47.00
751,-47.00
752,-47.00
753,-47.00
754,-47.00
755,-47.00
756,-47.00
757,-47.00
758,-47.00
759,-47.00
760,-47.00
761,-47.00
762,-47.00
763,-47.00
764,-46.00
765,-47.00
766,-47.00
767,-47.00
768,-47.00
769,-47.00
770,-47.00
771,-47.00
772,-47.00
773,-47.00
774,-47.00
775,-47.00
776,-47.00
777,-47.00
778,-47.00
779,-47.00
780,-47.00
781,-47.00
782,-47.00
783,-47.00
784,-47.00
785,-47.00
786,-47.00
787,-47.00
788,-47.00
789,-47.00
790,-47.00
791,-47.00
