number_of_times,rssi
1,-57.00
2,-55.00
3,-56.00
4,-56.00
5,-56.00
6,-56.00
7,-56.00
8,-56.00
9,-54.00
10,-56.00
11,-57.00
12,-59.00
13,-59.00
14,-57.00
15,-58.00
16,-58.00
17,-58.00
18,-58.00
19,-58.00
20,-58.00
21,-59.00
22,-59.00
23,-58.00
24,-58.00
25,-58.00
26,-58.00
27,-56.00
28,-57.00
29,-59.00
30,-56.00
31,-57.00
32,-56.00
33,-56.00
34,-56.00
35,-56.00
36,-56.00
37,-58.00
38,-56.00
39,-56.00
40,-56.00
41,-56.00
42,-55.00
43,-56.00
44,-56.00
45,-56.00
46,-57.00
47,-56.00
48,-55.00
49,-55.00
50,-55.00
51,-55.00
52,-55.00
53,-55.00
54,-56.00
55,-56.00
56,-56.00
57,-55.00
58,-56.00
59,-55.00
60,-55.00
61,-55.00
62,-55.00
63,-55.00
64,-55.00
65,-55.00
66,-55.00
67,-55.00
68,-55.00
69,-55.00
70,-55.00
71,-55.00
72,-55.00
73,-55.00
74,-55.00
75,-55.00
76,-55.00
77,-55.00
78,-56.00
79,-55.00
80,-55.00
81,-55.00
82,-55.00
83,-55.00
84,-55.00
85,-55.00
86,-55.00
87,-56.00
88,-55.00
89,-55.00
90,-55.00
91,-55.00
92,-55.00
93,-55.00
94,-55.00
95,-55.00
96,-56.00
97,-55.00
98,-55.00
99,-55.00
100,-56.00
101,-55.00
102,-55.00
103,-55.00
104,-55.00
105,-55.00
106,-55.00
107,-55.00
108,-55.00
109,-55.00
110,-56.00
111,-56.00
112,-55.00
113,-55.00
114,-55.00
115,-55.00
116,-55.00
117,-56.00
118,-55.00
119,-55.00
120,-55.00
121,-56.00
122,-55.00
123,-56.00
124,-56.00
125,-56.00
126,-56.00
127,-56.00
128,-55.00
129,-56.00
130,-56.00
131,-56.00
132,-56.00
133,-56.00
134,-56.00
135,-56.00
136,-56.00
137,-56.00
138,-56.00
139,-56.00
140,-57.00
141,-56.00
142,-56.00
143,-57.00
144,-56.00
145,-57.00
146,-56.00
147,-56.00
148,-56.00
149,-56.00
150,-56.00
151,-56.00
152,-57.00
153,-57.00
154,-56.00
155,-57.00
156,-56.00
157,-56.00
158,-56.00
159,-56.00
160,-56.00
161,-56.00
162,-56.00
163,-57.00
164,-56.00
165,-56.00
166,-56.00
167,-56.00
168,-56.00
169,-56.00
170,-56.00
171,-56.00
172,-56.00
173,-56.00
174,-56.00
175,-56.00
176,-56.00
177,-56.00
178,-56.00
179,-56.00
180,-56.00
181,-56.00
182,-56.00
183,-56.00
184,-56.00
185,-56.00
186,-56.00
187,-56.00
188,-56.00
189,-56.00
190,-57.00
191,-57.00
192,-56.00
193,-57.00
194,-55.00
195,-56.00
196,-56.00
197,-56.00
198,-56.00
199,-56.00
200,-55.00
201,-55.00
202,-55.00
203,-55.00
204,-55.00
205,-55.00
206,-56.00
207,-56.00
208,-56.00
209,-55.00
210,-55.00
211,-55.00
212,-55.00
213,-55.00
214,-55.00
215,-55.00
216,-55.00
217,-55.00
218,-55.00
219,-56.00
220,-55.00
221,-55.00
222,-56.00
223,-55.00
224,-55.00
225,-55.00
226,-56.00
227,-56.00
228,-56.00
229,-56.00
