number_of_times,rssi
1,-54.00
2,-56.00
3,-56.00
4,-56.00
5,-54.00
6,-54.00
7,-54.00
8,-55.00
9,-55.00
10,-56.00
11,-55.00
12,-55.00
13,-55.00
14,-55.00
15,-55.00
16,-55.00
17,-55.00
18,-55.00
19,-55.00
20,-55.00
21,-55.00
22,-55.00
23,-55.00
24,-55.00
25,-55.00
26,-55.00
27,-55.00
28,-55.00
29,-55.00
30,-55.00
31,-55.00
32,-55.00
33,-55.00
34,-55.00
35,-56.00
36,-56.00
37,-55.00
38,-56.00
39,-55.00
40,-56.00
41,-54.00
42,-55.00
43,-55.00
44,-55.00
45,-55.00
46,-56.00
47,-55.00
48,-56.00
49,-55.00
50,-56.00
51,-56.00
52,-56.00
53,-56.00
54,-56.00
55,-56.00
56,-56.00
57,-56.00
58,-55.00
59,-55.00
60,-55.00
61,-55.00
62,-55.00
63,-55.00
64,-55.00
65,-55.00
66,-55.00
67,-55.00
68,-55.00
69,-55.00
70,-55.00
71,-55.00
72,-55.00
73,-55.00
74,-55.00
75,-55.00
76,-55.00
77,-55.00
78,-55.00
79,-55.00
80,-55.00
81,-55.00
82,-55.00
83,-55.00
84,-56.00
85,-56.00
86,-57.00
87,-57.00
88,-56.00
89,-56.00
90,-56.00
91,-55.00
92,-55.00
93,-55.00
94,-55.00
95,-56.00
96,-57.00
97,-57.00
98,-57.00
99,-56.00
100,-56.00
101,-56.00
102,-56.00
103,-56.00
104,-58.00
105,-56.00
106,-57.00
107,-56.00
108,-57.00
109,-57.00
110,-57.00
111,-57.00
112,-57.00
113,-57.00
114,-55.00
115,-56.00
116,-56.00
117,-56.00
118,-57.00
119,-55.00
120,-56.00
121,-56.00
122,-56.00
123,-56.00
124,-57.00
125,-56.00
126,-55.00
127,-53.00
128,-55.00
129,-54.00
130,-53.00
131,-53.00
132,-53.00
133,-53.00
134,-53.00
135,-53.00
136,-54.00
137,-54.00
138,-54.00
139,-54.00
140,-54.00
141,-54.00
142,-54.00
143,-54.00
144,-54.00
145,-54.00
146,-54.00
147,-54.00
148,-54.00
149,-54.00
150,-54.00
151,-55.00
152,-55.00
153,-55.00
154,-56.00
155,-55.00
156,-54.00
157,-55.00
158,-55.00
159,-55.00
160,-54.00
161,-54.00
162,-55.00
163,-54.00
164,-54.00
165,-55.00
166,-54.00
167,-55.00
168,-55.00
169,-54.00
170,-55.00
171,-55.00
172,-55.00
173,-55.00
174,-55.00
175,-55.00
176,-55.00
177,-55.00
178,-55.00
179,-55.00
180,-55.00
181,-55.00
182,-55.00
183,-55.00
184,-55.00
185,-55.00
186,-55.00
187,-55.00
188,-54.00
189,-55.00
190,-55.00
191,-54.00
192,-55.00
193,-54.00
194,-53.00
195,-54.00
196,-54.00
197,-54.00
198,-54.00
199,-55.00
200,-55.00
201,-54.00
202,-54.00
203,-55.00
204,-54.00
205,-56.00
206,-56.00
207,-57.00
208,-56.00
209,-55.00
210,-55.00
211,-56.00
212,-56.00
213,-56.00
214,-56.00
215,-55.00
216,-55.00
217,-55.00
218,-56.00
219,-56.00
220,-55.00
221,-56.00
222,-56.00
223,-56.00
224,-56.00
225,-56.00
226,-56.00
227,-56.00
228,-56.00
229,-56.00
230,-56.00
231,-56.00
232,-56.00
233,-56.00
234,-55.00
235,-57.00
236,-56.00
237,-57.00
238,-57.00
239,-57.00
240,-56.00
241,-57.00
242,-57.00
243,-57.00
244,-57.00
245,-57.00
246,-57.00
247,-57.00
248,-57.00
249,-57.00
250,-57.00
251,-56.00
252,-56.00
253,-57.00
254,-56.00
255,-56.00
256,-56.00
257,-56.00
258,-56.00
259,-56.00
260,-55.00
261,-56.00
262,-56.00
263,-56.00
264,-56.00
265,-56.00
266,-56.00
267,-56.00
268,-56.00
269,-56.00
270,-56.00
271,-56.00
272,-56.00
273,-56.00
274,-56.00
275,-56.00
276,-56.00
277,-56.00
278,-55.00
279,-55.00
280,-56.00
281,-56.00
282,-55.00
283,-56.00
284,-55.00
285,-55.00
286,-55.00
287,-55.00
288,-56.00
289,-55.00
290,-56.00
291,-55.00
292,-55.00
293,-56.00
294,-55.00
295,-55.00
296,-56.00
297,-56.00
298,-55.00
299,-59.00
300,-57.00
301,-54.00
302,-55.00
303,-56.00
304,-55.00
305,-55.00
306,-56.00
307,-55.00
308,-55.00
309,-56.00
310,-56.00
311,-55.00
312,-56.00
313,-56.00
314,-57.00
315,-57.00
316,-58.00
317,-56.00
318,-56.00
319,-56.00
320,-56.00
321,-55.00
322,-56.00
323,-56.00
324,-56.00
325,-56.00
326,-55.00
327,-56.00
328,-57.00
329,-56.00
330,-56.00
331,-56.00
332,-56.00
333,-55.00
334,-55.00
335,-55.00
336,-55.00
337,-57.00
338,-56.00
339,-57.00
340,-56.00
341,-57.00
342,-56.00
343,-57.00
344,-57.00
345,-57.00
346,-57.00
347,-57.00
348,-58.00
349,-59.00
350,-57.00
351,-56.00
352,-57.00
353,-57.00
354,-57.00
355,-57.00
356,-57.00
357,-57.00
358,-56.00
359,-56.00
360,-58.00
361,-58.00
362,-56.00
363,-55.00
364,-55.000
365,-56.00
366,-56.00
367,-56.00
368,-56.00
369,-56.00
370,-56.00
371,-56.00
372,-56.00
373,-56.00
374,-56.00
375,-56.00
376,-56.00
377,-56.00
378,-56.00
379,-56.00
380,-56.00
381,-56.00
382,-57.00
383,-56.00
384,-56.00
385,-56.00
386,-56.00
387,-56.00
388,-56.00
389,-57.00
390,-57.00
391,-57.00
392,-57.00
393,-56.00
394,-57.00
395,-56.00
396,-56.00
397,-56.00
398,-56.00
399,-56.00
400,-56.00
401,-56.00
402,-56.00
403,-56.00
404,-56.00
405,-56.00
406,-56.00
407,-56.00
408,-56.00
409,-56.00
410,-56.00
411,-56.00
412,-56.00
413,-56.00
414,-56.00
415,-56.00
416,-56.00
417,-56.00
418,-56.00
419,-56.00
420,-57.00
421,-56.00
422,-57.00
423,-56.00
424,-57.00
425,-56.00
426,-57.00
427,-56.00
428,-56.00
429,-56.00
430,-56.00
431,-60.00
432,-54.00
433,-56.00
434,-58.00
435,-57.00
436,-57.00
437,-57.00
438,-58.00
439,-57.00
440,-57.00
441,-58.00
442,-58.00
443,-57.00
444,-57.00
445,-57.00
446,-57.00
447,-58.00
448,-58.00
449,-57.00
450,-58.00
451,-57.00
452,-57.00
453,-57.00
454,-57.00
455,-57.00
456,-57.00
457,-57.00
458,-57.00
459,-57.00
460,-57.00
461,-57.00
462,-57.00
463,-57.00
464,-58.00
465,-57.00
466,-57.00
467,-57.00
468,-58.00
469,-57.00
470,-58.00
471,-58.00
472,-57.00
473,-57.00
474,-57.00
475,-57.00
476,-57.00
477,-57.00
478,-57.00
479,-57.00
480,-57.00
481,-57.00
482,-57.00
483,-57.00
484,-57.00
485,-57.00
486,-56.00
487,-57.00
488,-58.00
489,-57.00
490,-57.00
491,-57.00
492,-58.00
493,-56.00
494,-57.00
495,-57.00
496,-57.00
497,-57.00
498,-57.00
499,-57.00
500,-58.00
501,-57.00
502,-57.00
503,-57.00
504,-57.00
505,-58.00
506,-57.00
507,-57.00
508,-57.00
509,-57.00
510,-57.00
511,-57.00
512,-57.00
513,-57.00
514,-57.00
515,-57.00
516,-57.00
517,-57.00
518,-56.00
519,-56.00
520,-57.00
521,-57.00
522,-57.00
523,-57.00
524,-57.00
525,-57.00
526,-57.00
527,-57.00
528,-57.00
529,-56.00
530,-58.00
531,-58.00
532,-58.00
533,-58.00
534,-58.00
535,-56.00
536,-57.00
537,-57.00
538,-57.00
539,-56.00
540,-57.00
541,-56.00
542,-57.00
543,-57.00
544,-57.00
545,-56.00
546,-57.00
547,-57.00
548,-57.00
549,-56.00
550,-57.00
551,-57.00
552,-56.00
553,-55.00
554,-56.00
555,-56.00
556,-57.00
557,-55.00
558,-56.00
559,-55.00
560,-56.00
561,-56.00
562,-55.00
563,-56.00
564,-57.00
565,-57.00
566,-57.00
567,-57.00
568,-56.00
569,-57.00
570,-57.00
571,-57.00
572,-57.00
573,-56.00
574,-57.00
575,-55.00
576,-56.00
577,-55.00
578,-56.00
579,-56.00
580,-56.00
581,-56.00
582,-56.00
583,-56.00
584,-56.00
585,-56.00
586,-55.00
587,-55.00
588,-56.00
589,-56.00
590,-56.00
591,-57.00
592,-56.00
593,-56.00
594,-56.00
595,-56.00
596,-56.00
597,-56.00
598,-56.00
599,-56.00
600,-56.00
601,-56.00
602,-56.00
603,-56.00
604,-56.00
605,-56.00
606,-56.00
607,-56.00
608,-56.00
609,-55.00
610,-55.00
611,-56.00
612,-55.00
613,-55.00
614,-55.00
615,-56.00
616,-55.00
617,-55.00
618,-55.00
619,-56.00
620,-55.00
621,-55.00
622,-55.00
623,-54.00
624,-55.00
625,-55.00
626,-55.00
627,-55.00
628,-55.00
629,-55.00
630,-55.00
631,-54.00
632,-55.00
633,-55.00
634,-55.00
635,-55.00
636,-55.00
637,-54.00
638,-54.00
639,-54.00
640,-55.00
641,-55.00
642,-55.00
643,-55.00
644,-54.00
645,-55.00
646,-55.00
647,-55.00
648,-55.00
649,-55.00
650,-54.00
651,-55.00
652,-56.00
653,-56.00
654,-56.00
655,-56.00
656,-55.00
657,-55.00
658,-56.00
659,-56.00
660,-55.00
661,-55.00
662,-55.00
663,-55.00
664,-55.00
665,-55.00
666,-55.00
667,-55.00
668,-55.00
669,-55.00
670,-56.00
671,-55.00
672,-55.00
673,-55.00
674,-55.00
675,-55.00
676,-55.00
677,-55.00
678,-55.00
679,-56.00
680,-55.00
681,-55.00
682,-54.00
683,-55.00
684,-55.00
685,-55.00
686,-55.00
