,rssi,rssi_normalized
count,10863.0,10863.0
mean,-52.06489919911627,0.48052071727185297
std,5.788095374421316,0.19958949566970058
min,-66.0,0.0
25%,-56.0,0.3448275862068968
50%,-53.0,0.44827586206896575
75%,-47.0,0.6551724137931036
max,-37.0,1.0000000000000002
