distance (m)
2.73663
1.91473
1.45452
2.7183
2.2033
3.06691
1.27953
1.73602
4.10438
7.25627
10.2078
7.26684
5.88941
3.86243
3.00782
7.10603
7.11727
1.69512
1.88959
9.43813
3.2872
2.89113
1.91326
0.350974
6.15237
1.80131
1.1941
1.97933
0.836604
5.61126
1.0139
7.43034
3.96345
8.44597
2.33842
4.80412
2.17438
3.48177
3.55485
3.71326
9.45039
17.8835
6.63753
0.913257
1.82928
2.13583
3.3485
4.82603
4.51078
3.10688
5.9076
6.10311
4.21086
11.9783
1.99425
6.25782
0.910596
3.93617
7.55608
7.50975
4.9116
5.74562
12.4164
9.51001
0.825642
4.18826
5.48394
3.1452
1.89519
4.00538
4.77821
4.4461
5.54332
4.85912
8.69532
1.94565
7.73741
2.36127
1.13677
5.23465
12.1798
5.4368
7.28681
1.2892
2.8989
3.48085
4.48734
3.94626
5.05023
1.04218
4.8895
4.38075
5.062
4.27547
5.5765
2.74956
5.50423
3.98689
4.9002
3.54463
5.37323
7.96339
0.816642
6.38435
5.68879
6.93071
3.96808
10.5966
3.51469
2.27337
7.95684
4.62834
14.4114
1.22942
4.19602
9.06929
5.272
2.07051
3.95192
12.1311
4.08458
9.73063
4.71983
10.0809
5.85904
10.0848
3.54917
2.40664
3.06962
18.1884
1.3169
5.61358
6.30011
2.34314
1.57594
3.12817
5.48799
3.21014
13.1473
2.59687
3.34842
8.80766
2.67494
6.62252
4.16417
8.01534
3.67046
11.4608
3.34578
8.42603
2.65685
5.5012
3.624
9.83621
1.61615
3.44613
1.56077
2.04339
5.2457
11.4713
12.8763
2.74888
11.7871
8.84736
4.08629
5.5567
6.83871
8.35501
1.08345
10.2789
21.5082
3.89318
2.04913
3.52389
2.73614
2.28177
3.12759
3.34063
1.59136
7.50302
3.64703
3.81089
2.89065
2.37571
2.87771
4.14657
9.58367
9.1845
5.78703
6.00454
1.87865
2.78613
12.0634
2.37164
4.4538
4.9307
5.2528
2.79678
6.25636
3.62859
6.84298
7.26399
4.39341
4.47287
4.34558
15.3381
5.0468
1.04559
2.44695
7.18827
4.87999
1.54648
4.69008
8.69633
2.19581
1.07218
3.11476
12.2155
2.57076
3.58744
3.73347
4.29154
2.40313
12.4838
0.732799
4.02687
3.78754
9.20062
4.35981
6.5805
7.17231
2.47298
8.13423
2.18694
1.49239
9.99018
6.9418
6.64788
2.90274
2.24808
8.75467
1.96454
3.52252
2.74248
3.2087
5.45607
4.22893
6.92359
2.95731
2.38072
11.477
2.52959
3.03453
6.07511
2.55893
3.08422
8.57068
2.46798
9.39659
3.34615
3.98608
1.7582
6.22899
2.12469
4.55671
2.91351
3.73806
2.4257
2.55083
5.07497
21.2143
15.2269
2.24736
2.33801
2.58054
2.22951
1.6326
3.4853
