distance (m)
4.48984
7.79874
1.97654
10.57
3.60095
4.90555
7.43348
3.83964
12.0106
6.26493
5.30114
11.4043
4.11317
2.10606
5.05438
3.31338
5.23393
7.70546
6.33243
8.84637
2.33975
6.92582
7.6295
2.42437
7.71803
3.59794
6.49417
2.58903
5.74079
4.46039
9.76576
2.33041
6.26527
4.12617
5.28493
4.83365
4.15859
5.19508
2.70054
11.3889
9.23802
4.75846
10.8275
3.83663
4.58568
4.02515
2.79525
9.72226
5.29372
4.58428
7.20203
11.0636
10.7061
8.79564
12.3565
4.98414
5.95954
3.49973
2.78835
5.12148
6.81652
3.44243
4.5204
3.05374
12.0119
7.88579
6.60152
2.66023
9.68665
4.68102
4.17073
4.88611
2.72186
3.67037
1.85832
8.08906
12.0547
3.45242
13.1767
15.5336
4.90933
8.4554
0.802021
6.12521
11.4688
12.0311
3.88744
1.23179
2.84786
8.24075
7.0665
6.6854
14.9687
8.30259
3.24576
7.55252
10.4889
6.78475
3.32125
3.67209
1.86575
1.76109
2.95537
4.97254
2.26978
2.68116
9.2775
11.1731
11.8469
4.34579
6.85018
9.23343
2.83186
3.48643
3.47889
2.68106
9.32691
7.65342
4.4068
1.83067
4.35677
3.25532
10.4516
4.94571
4.58591
3.75522
7.04338
6.19336
3.53332
20.8036
4.7869
12.6171
3.71729
3.78266
2.92689
5.15498
1.59027
3.99376
24.4748
5.16231
5.87173
4.6497
3.85372
5.42097
3.11943
2.33521
7.79434
4.49959
7.26642
1.95531
4.19827
2.40886
10.2099
5.71709
4.66555
1.79586
2.4872
7.78402
6.30406
3.047
7.91638
20.9951
3.18883
3.79478
3.80621
3.97403
9.28701
3.38005
5.43988
3.34927
3.10894
8.35579
13.3054
9.81493
22.6504
2.49845
5.20666
8.98143
1.78011
3.73192
7.14983
15.0345
6.59586
2.56341
3.06987
2.32575
2.76635
6.69578
2.70658
3.24135
5.70303
3.69687
3.18985
2.75802
6.03276
5.05093
3.00408
2.38726
8.20167
5.74455
4.5909
9.46437
2.56831
4.31403
4.63127
10.924
11.327
4.13301
25.3935
13.6348
1.716
6.13348
7.40537
6.07153
16.374
1.76482
9.10874
7.40317
6.70738
3.39602
3.09361
4.48442
1.16952
2.66657
5.85185
5.64941
5.88373
6.17608
5.91066
4.06104
7.36962
4.67475
2.2488
7.20235
4.56752
8.8235
9.05235
14.6614
9.45732
5.41709
2.52019
5.05978
3.59894
8.69401
5.10981
3.67079
3.21448
3.52399
3.20079
