CellIDx, CellIDy, BSSID, SSID, AvgRSSI
4,4,d4:38:9c:a3:c4:6c,Xperia XA2_2233,-52.5
4,4,ec:3e:b3:58:4e:12,Wind3 HUB-584E11,-49.1
5,4,aa:39:26:89:77:2d,PC_LUCA,-39.9
5,4,d4:38:9c:a3:c4:6c,Xperia XA2_2233,-63.9
5,4,ec:3e:b3:58:4e:12,Wind3 HUB-584E11,-47.7
6,4,aa:39:26:89:77:2d,PC_LUCA,-56.4
6,4,d4:38:9c:a3:c4:6c,Xperia XA2_2233,-65.8
6,4,ec:3e:b3:58:4e:12,Wind3 HUB-584E11,-40.9
7,4,aa:39:26:89:77:2d,PC_LUCA,-54.4
7,4,d4:38:9c:a3:c4:6c,Xperia XA2_2233,-68.3
7,4,ec:3e:b3:58:4e:12,Wind3 HUB-584E11,-43.7
8,4,aa:39:26:89:77:2d,PC_LUCA,-55.7
8,4,d4:38:9c:a3:c4:6c,Xperia XA2_2233,-75.3
8,4,ec:3e:b3:58:4e:12,Wind3 HUB-584E11,-49.4
9,4,aa:39:26:89:77:2d,PC_LUCA,-61.1
9,4,d4:38:9c:a3:c4:6c,Xperia XA2_2233,-72.8
9,4,ec:3e:b3:58:4e:12,Wind3 HUB-584E11,-55
1,5,aa:39:26:89:77:2d,PC_LUCA,-45.2
1,5,d4:38:9c:a3:c4:6c,Xperia XA2_2233,-53.7
1,5,ec:3e:b3:58:4e:12,Wind3 HUB-584E11,-65.9
2,5,aa:39:26:89:77:2d,PC_LUCA,-41.8
2,5,d4:38:9c:a3:c4:6c,Xperia XA2_2233,-57.9
2,5,ec:3e:b3:58:4e:12,Wind3 HUB-584E11,-60.8
3,5,aa:39:26:89:77:2d,PC_LUCA,-42
3,5,d4:38:9c:a3:c4:6c,Xperia XA2_2233,-55.9
3,5,ec:3e:b3:58:4e:12,Wind3 HUB-584E11,-59.9
4,5,aa:39:26:89:77:2d,PC_LUCA,-39.3
4,5,d4:38:9c:a3:c4:6c,Xperia XA2_2233,-51.7
4,5,ec:3e:b3:58:4e:12,Wind3 HUB-584E11,-56.3
5,5,aa:39:26:89:77:2d,PC_LUCA,-43.3
5,5,d4:38:9c:a3:c4:6c,Xperia XA2_2233,-60.4
5,5,ec:3e:b3:58:4e:12,Wind3 HUB-584E11,-43.8
6,5,aa:39:26:89:77:2d,PC_LUCA,-57.5
6,5,d4:38:9c:a3:c4:6c,Xperia XA2_2233,-69.4
6,5,ec:3e:b3:58:4e:12,Wind3 HUB-584E11,-41.8
7,5,aa:39:26:89:77:2d,PC_LUCA,-57.6
7,5,d4:38:9c:a3:c4:6c,Xperia XA2_2233,-67.7
7,5,ec:3e:b3:58:4e:12,Wind3 HUB-584E11,-42.5
8,5,aa:39:26:89:77:2d,PC_LUCA,-57.6
8,5,d4:38:9c:a3:c4:6c,Xperia XA2_2233,-66
8,5,ec:3e:b3:58:4e:12,Wind3 HUB-584E11,-45.9
9,5,aa:39:26:89:77:2d,PC_LUCA,-62.3
9,5,d4:38:9c:a3:c4:6c,Xperia XA2_2233,-68.2
9,5,ec:3e:b3:58:4e:12,Wind3 HUB-584E11,-52.9
1,6,aa:39:26:89:77:2d,PC_LUCA,-44.2
1,6,d4:38:9c:a3:c4:6c,Xperia XA2_2233,-65.1
1,6,ec:3e:b3:58:4e:12,Wind3 HUB-584E11,-53.8
2,6,aa:39:26:89:77:2d,PC_LUCA,-43.5
2,6,d4:38:9c:a3:c4:6c,Xperia XA2_2233,-63
2,6,ec:3e:b3:58:4e:12,Wind3 HUB-584E11,-55.8
3,6,aa:39:26:89:77:2d,PC_LUCA,-46.2
3,6,d4:38:9c:a3:c4:6c,Xperia XA2_2233,-67.2
3,6,ec:3e:b3:58:4e:12,Wind3 HUB-584E11,-54.3
4,6,aa:39:26:89:77:2d,PC_LUCA,-46.5
4,6,d4:38:9c:a3:c4:6c,Xperia XA2_2233,-63.8
4,6,ec:3e:b3:58:4e:12,Wind3 HUB-584E11,-49.2
5,6,aa:39:26:89:77:2d,PC_LUCA,-48
5,6,d4:38:9c:a3:c4:6c,Xperia XA2_2233,-70.3333
5,6,ec:3e:b3:58:4e:12,Wind3 HUB-584E11,-32.5
6,6,aa:39:26:89:77:2d,PC_LUCA,-54.6
6,6,d4:38:9c:a3:c4:6c,Xperia XA2_2233,-65.6
6,6,ec:3e:b3:58:4e:12,Wind3 HUB-584E11,-37.9
7,6,aa:39:26:89:77:2d,PC_LUCA,-59.6
7,6,d4:38:9c:a3:c4:6c,Xperia XA2_2233,-70.6
7,6,ec:3e:b3:58:4e:12,Wind3 HUB-584E11,-39.1
1,7,aa:39:26:89:77:2d,PC_LUCA,-48.2
1,7,d4:38:9c:a3:c4:6c,Xperia XA2_2233,-61.2
1,7,ec:3e:b3:58:4e:12,Wind3 HUB-584E11,-61.3
2,7,aa:39:26:89:77:2d,PC_LUCA,-49.4
2,7,d4:38:9c:a3:c4:6c,Xperia XA2_2233,-62.1
2,7,ec:3e:b3:58:4e:12,Wind3 HUB-584E11,-59.5
3,7,aa:39:26:89:77:2d,PC_LUCA,-51.6
3,7,d4:38:9c:a3:c4:6c,Xperia XA2_2233,-68.3
3,7,ec:3e:b3:58:4e:12,Wind3 HUB-584E11,-64.2
4,7,aa:39:26:89:77:2d,PC_LUCA,-46.7
4,7,d4:38:9c:a3:c4:6c,Xperia XA2_2233,-59.6
4,7,ec:3e:b3:58:4e:12,Wind3 HUB-584E11,-59.3
5,7,aa:39:26:89:77:2d,PC_LUCA,-47.4
5,7,d4:38:9c:a3:c4:6c,Xperia XA2_2233,-66.7
5,7,ec:3e:b3:58:4e:12,Wind3 HUB-584E11,-39.1
6,7,aa:39:26:89:77:2d,PC_LUCA,-48.1
6,7,d4:38:9c:a3:c4:6c,Xperia XA2_2233,-65.4
6,7,ec:3e:b3:58:4e:12,Wind3 HUB-584E11,-33.5
7,7,aa:39:26:89:77:2d,PC_LUCA,-51.2
7,7,d4:38:9c:a3:c4:6c,Xperia XA2_2233,-70.9
7,7,ec:3e:b3:58:4e:12,Wind3 HUB-584E11,-38.2
